8806554;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM 1+ BDJAX6X1700GR;LECHE KLIM 1+ BDJAX6X1700GR;267000;0;45500
12351966;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM 1+ DHA BDJAX6X1700GR;LECHE KLIM 1+ DHA BDJAX6X1700GR;267000;0;45500
12351617;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM 1+ DHA CJX30X500GR;LECHE KLIM 1+ DHA CJX30X500GR;389100;0;13300
12351612;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM 1+ DHA CJX6X900GR;LECHE KLIM 1+ DHA CJX6X900GR;149000;0;25400
12351613;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM 1+ DHA ZIPPER CJX6X2KG;LECHE KLIM 1+ DHA ZIPPER CJX6X2KG;272700;0;46500
12207762;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM 3+ CJX6X1000GR;LECHE KLIM 3+ CJX6X1000GR;142000;0;24200
12400589;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM FORTIGROW CJX40XTIRAX16X28GR;LECHE KLIM FORTIGROW CJX40XTIRAX16X28GR;467000;0;11950
12142892;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM INSTAN.BOLSA CJX32X386GR;LECHE KLIM INSTAN.BOLSA CJX32X386GR;264300;0;8450
12105016;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM INSTANT 32X360;LECHE KLIM INSTANT 32X360;264300;0;8450
12172755;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM INSTANT DESLACTOSADA 32X360GR;LECHE KLIM INSTANT DESLACTOSADA 32X360GR;302600;0;9700
12106522;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM INSTANTANEA CJX12X780GR;LECHE KLIM INSTANTANEA CJX12X780GR;208800;0;17800
12369760;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM NUTRI-RINDE 30X364;LECHE KLIM NUTRI-RINDE 30X364;210550;0;7200
12369748;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM NUTRI-RINDE CJX12X900GR;LECHE KLIM NUTRI-RINDE CJX12X900GR;195450;0;16650
12369749;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIM NUTRI-RINDE CJX60X104GR;LECHE KLIM NUTRI-RINDE CJX60X104GR;128400;26250;2200
12351614;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE KLIN 1+ DHA CJX6X1KG;LECHE KLIN 1+ DHA CJX6X1KG;146150;0;24900
12400575;NESTLE DE COLOMBIA S.A.;LECHES KLIM;LECHE NUTRI-RINDE CJX12XRISTRAX8X104GR;LECHE NUTRI-RINDE CJX12XRISTRAX8X104GR;205400;0;17500
